"Symbol","Company Name","ADTValue","AggregateScore","Sortino","Beta","BullishVolume","PriceUp","TDI","TII","MFI"
"URTY","ProShares UltraPro Russell 2000","66997587","67.111","79.6079","100","51.057","51.55556","65.879775","97.95247","57.84384",""
"USD","ProShares Ultra Semiconductors","55525540","76.785","99.8","100","44.986","54.88889","93.53338","98.49123","52.25888",""
"USML","ETRACS 2x Leveraged MSCI US Minimum Volatility Factor TR ETN","5859","56.824","96.7128","61.1","33.871","55.11811","50","95.28733","55.67964",""
"UTSL","Direxion Daily Utilities Bull 3X Shares","8763451","44.961","74.5096","-13.25","46.13","52.22222","50","94.56504","60.55211",""
"UVIX","2x LongVIXFuturesETF","114809337","-25.322","35.9722","-426.85","63.962","37.33333","70.48399","19.31217","52.04575",""
"UVXY","ProShares UltraVIXShort-Term FuturesETF","317016500","-3.578","38.2409","-328.25","65.179","37.77778","74.66732","57.32429","55.35052",""
"UWM","ProShares Ultra Russell 2000","34422653","68.123","80.3947","100","50.621","51.55556","67.02312","99.52509","60.71678",""
"UXI","ProShares Ultra Industrials","191387","75.018","93.928","96.4","47.663","54.78842","92.433595","100","47.47899",""
"UYG","ProShares Ultra Financials","1822731","72.116","90.6605","100","56.95","54.88889","69.835705","100","62.64166",""
"UYM","ProShares Ultra Materials","297223","62.884","73.3896","61.4","48.358","53.77778","73.529315","97.55902","58.64588",""
"VIXM","ProShares Trust VIX Mid-Term Fu","1982569","44.986","43.663","50","53.281","41.55556","60.971075","50.59725","53.86592",""
"VXZ","iPath Series B S&P 500 VIX Mid-","708374","44.785","37.4284","50","53.566","41.55556","61.283965","53.54393","54.83071",""
"WANT","Direxion Daily Consumer Discretionary Bull 3X Shares","1044319","71.304","88.4743","100","58.656","54.88889","66.821385","100","63.46656",""
"WEBL","Direxion Daily Dow Jones Internet Bull 3X Shares","5280646","79.802","92.8787","100","55.141","55.55556","100","100","55.04071",""
"WEBS","Direxion Daily Dow Jones Internet Bear 3X Shares","2180799","15.419","33.8897","-168.7","50.223","42.44444","0","0","50.07861",""
"XBJA","Innovator U.S. Equity Accelerated 9 Buffer ETF - January","450004","62.686","99.8","8.85","50.993","56.66667","73.326575","100","75.83699",""
"XBOC","Innovator U.S. Equity Accelerated 9 Buffer ETF - October","576073","59.442","99.8","23.6","50.86","59.82143","62.434065","96.55848","60.588",""
"XDEC","FT Vest U.S. Equity Enhance & Moderate Buffer ETF - December","1994779","65.094","99.8","3.9","63.557","56.66667","73.048565","100","85.63674",""
"XDJA","Innovator U.S. Equity Accelerated ETF - January","53952","63.874","99.8","11.5","63.87","57.75","77.40649","100","59.38848",""
"XDOC","Innovator U.S. Equity Accelerated ETF - October","53803","60.598","99.8","30.85","26.567","58.51319","78.946645","96.62772","53.93524",""
"XPP","ProShares Ultra FTSE China 50","1305700","56.741","62.9784","-26.15","54.067","46.44444","100","100","59.84396",""
"XSEP","FT Vest U.S. Equity Enhance & Moderate Buffer ETF - September","1574379","60.732","99.8","15.6","55.371","56.88889","74.626135","99.87091","48.34401",""
"XTJA","Innovator U.S. Equity Accelerated Plus ETF - January","110390","62.004","99.8","9.55","54.051","57.77778","77.778025","100","57.29535",""
"XTOC","Innovator U.S. Equity Accelerated Plus ETF - October","249686","63.852","99.8","29.65","47.176","59.31034","76.486525","96.91883","61.13478",""
"YANG","Direxion Daily FTSE China Bear 3X Shares","173616186","46.627","65.7079","26.85","35.798","52.44444","0","0","45.58779",""
"YINN","Direxion Daily FTSE China Bull 3X Shares","568254695","55.105","63.2642","-35.75","55.287","46.44444","100","100","56.48715",""
"YXI","ProShares Short FTSE China 50","331455","44.286","64.3913","10.9","34.092","52","0","0","48.62022",""
