"Symbol","Company Name","ADTValue","Beta","Weighted Score","Wtd Sortino","Wtd BullishVolume","Wtd PriceUp","TDI","TII","MFI","Weighted Score","Price last week","Price this week","Price move %"
"DULL","MicroSectors Gold -3X Inverse Leveraged ETNs","304550","-68.95","46.287","37.7809","54.256","46.8236","0","0","44.39017","46.287","9.15","8.76","-4.26",""
"SBB","ProShares Short SmallCap600","34718","-54.1","46.245","53.3011","36.412","49.02291","49.525295","5.84155","40.18803","46.245","15.18","14.9","-1.84",""
"WEBS","Direxion Daily Dow Jones Internet Bear 3X Shares","185189","-194.7","46.087","43.6855","52.879","41.695","44.641325","33.8481","50.74601","46.087","6.42","5.67","-11.68",""
"QID","ProShares UltraShort QQQ","50550","-146.55","46.058","40.082","54.735","43.35748","50","51.69764","44.41933","46.058","39.02","37.56","-3.74",""
"EUM","ProShares Short MSCI Emerging Markets","275961276","-46.6","45.988","54.1926","41.867","41.90589","55.48629","43.30185","47.71074","45.988","13.48","13.24","-1.78",""
"AMZD","Direxion Daily AMZN Bear 1X Shares ETF","506423","-82.8","45.94","41.7275","49.02","47.07268","73.18385","76.73427","56.55344","45.94","13.98","13.52","-3.29",""
"NVDS","AXS 1.25X NVDA Bear Daily ETF","410540","-252.9","45.906","37.2122","55.051","45.45553","39.897145","20.41844","47.33919","45.906","37.56","37.75","0.51",""
"EWV","ProShares UltraShort MSCI Japan","399303488","-132.9","45.69","50.7054","41.604","44.76176","27.09446","12.90376","44.63466","45.69","10.12","9.67","-4.45",""
"EPV","ProShares UltraShort FTSE Europe","32833","-77.55","45.568","46.3267","44.157","46.21927","14.462845","11.17176","49.10985","45.568","7.13","7.11","-0.28",""
"BIS","ProShares UltraShort Nasdaq Biotechnology","567563","-73","45.518","51.9463","36.486","48.1222","45.70276","0.23367","40.20311","45.518","14.3","14.5","1.4",""
"RXD","ProShares UltraShort Health Care","84803621","-30.45","45.245","45.9296","46.25","43.55457","0","0","40.97107","45.245","9.29","9.5","2.26",""
"FNGD","MicroSectors FANG+ Index -3X Inverse Leveraged ETN","83421241","-276.85","45.035","35.5118","55.014","44.57847","50","30.38432","42.44086","45.035","23.48","21.43","-8.73",""
"MSFD","Direxion Daily MSFT Bear 1X Shares ETF","5544689","-47.9","45.016","40.2446","50.297","44.50751","72.256555","94.23366","43.84369","45.016","13.62","13.47","-1.1",""
"PSQ","ProShares Short QQQ","124253548","-73.4","44.941","40.4056","52.702","41.71668","50","63.88014","46.71331","44.941","41.32","40.58","-1.79",""
"DOG","ProShares Short Dow30","406867731","-35.2","44.889","41.7485","50.484","42.4341","34.36041","0.6395","44.53132","44.889","27.55","27.25","-1.09",""
"DXD","ProShares UltraShort Dow30","51138875","-70.35","44.862","40.985","51.082","42.51786","26.004565","0.37066","46.38843","44.862","28.73","28.07","-2.3",""
"SPDN","Direxion Daily S&P 500 Bear 1x Shares","164526","-50.4","44.583","36.9942","53.986","42.76817","50","18.28405","40.03366","44.583","11.58","11.43","-1.3",""
