"Symbol","Company Name","ADTValue","Beta","Weighted Score","Wtd Sortino","Wtd BullishVolume","Wtd PriceUp","TDI","TII","MFI","Weighted Score","Price last week","Price this week","Price move %"
"LINCOLN.NS","Lincoln Pharmaceuticals Limited","746420641","37.1","71.778","99.8","67.211","48.32422","74.68619","100","65.56533","71.778","712.95","772.8","8.39",""
"POWERMECH.NS","POWER MECH PROJECT","278990107","86.4","71.752","99.1578","63.355","52.74205","91.41824","100","70.57387","71.752","6849.95","6291.05","-8.16",""
"TECHNOE.NS","Techno Electric & Engineering Company Limited","236595831","89.1","71.727","99.8","62.722","52.66026","50","99.54278","64.21541","71.727","1635.95","1554.1","-5",""
"TIIL.NS","Technocraft Industries (India) Ltd","4046269941","100","71.727","96.63","68.065","50.48552","79.377","100","65.58495","71.727","3500","3297.65","-5.78",""
"GEECEE.NS","GeeCee Ventures Ltd","68055370","51.35","71.7","99.8","61.093","54.20744","50","98.56767","68.70026","71.7","398.95","389.7","-2.32",""
"PNBGILTS.NS","PNB Gilts Ltd","4604488","78.6","71.666","87.6278","79.821","47.54964","50","95.74618","76.28625","71.666","129.45","122.95","-5.02",""
"ASAL.NS","Automotive Stampings & Assemblies Ltd","118216409","8.05","71.476","92.983","76.28","45.1658","31.531465","18.41851","69.43292","71.476","823","794.95","-3.41",""
"GESHIP.NS","Great Eastern Shipping Co Ltd","102829444","43.45","71.453","93.0642","69.063","52.23158","50","99.61462","71.73085","71.453","1339.85","1294.75","-3.37",""
"FINPIPE.NS","Finolex Industries Limited","14678943","70.5","71.421","91.0863","74.186","48.99138","29.48432","5.05835","67.56267","71.421","315","309.05","-1.89",""
"KIRLOSBROS.NS","Kirloskar Brothers Limited","2326779431","100","71.415","94.1458","67.503","52.59522","50","32.00395","60.3097","71.415","1810.95","1647","-9.05",""
"WELCORP.NS","Welspun Corp Limited","434952490","76.15","71.342","94.0739","64.341","55.61074","89.365235","100","67.74097","71.342","713.4","680.3","-4.64",""
