"Symbol","Company Name","ADTValue","AggregateScore","Sortino","Beta","BullishVolume","PriceUp","TDI","TII","MFI"
"GAEL.NS","Gujarat Ambuja Exports Ltd","275897994","56.078","72.1497","29.2","69.485","46.88889","5.625205","20.5281","65.54317",""
"GAIL.NS","GAIL (India) Limited","3203169734","53.762","92.4794","60.55","50.231","53.77778","26.61965","15.11661","57.42034",""
"GALAXYSURF.NS","Galaxy Surfactants Limited","91234901","47.361","82.0923","6.85","61.991","47.11111","39.6718","47.56069","65.26833",""
"GANDHITUBE.NS","Gandhi Special Tubes Limited","6953540","50.891","82.5487","30.7","69.048","49.55556","38.90824","37.23184","64.97184",""
"GANECOS.NS","Ganesha Ecosphere Limited","221151618","58.277","99.8","17.45","63.537","51.11111","53.92652","100","68.18535",""
"GANESHHOUC.NS","Ganesh Housing Corp Ltd","217579547","76.822","99.8","90.65","77.822","47.55556","85.696025","86.98052","63.55157",""
"GEECEE.NS","GeeCee Ventures Ltd","18415809","70.128","99.8","51.9","68.487","51.11111","76.476105","99.23988","67.40797",""
"GESHIP.NS","Great Eastern Shipping Co Ltd","609249944","45.759","93.7022","-6.15","68.114","52.22222","32.69137","7.84638","69.96255",""
"GHCL.NS","GHCL Ltd","133112536","48.805","75.2818","42.4","72.397","48.22222","44.052805","22.25159","69.19037",""
"GICRE.NS","GENERAL INSURANCE","372878916","66.254","90.5459","87.8","77.9","49.77778","5.62162","1.1643","67.83541",""
"GIPCL.NS","Gujarat Industries Power Co Ltd","84229425","57.117","94.987","71.95","70.327","48.88889","24.71253","3.87148","59.22253",""
"GLENMARK.NS","GLENMARK PHARM","1559298400","62.12","99.8","50.1","71.567","56","50","96.86496","60.51078",""
"GLOBUSSPR.NS","Globus Spirits Limited","364920044","63.723","80.4308","87.9","75.044","46.22222","50","77.68661","78.77637",""
"GMBREW.NS","G.M. Breweries Limited","176236154","60.706","91.3371","76","74.218","44.66667","33.59949","28.4895","77.43173",""
"GNA.NS","G N A Axles Limited","44554564","48.303","73.3514","35.6","65.437","46.88889","36.62938","24.70278","65.39655",""
"GNFC.NS","Gujarat Narmada Valley Fertilizers & Che","526166919","53.137","70.3178","57.9","59.466","53.11111","10.536465","3.71318","48.5249",""
"GOACARBON.NS","Goa Carbon Ltd","93805262","55.334","75.1294","55.05","80.299","45.77778","32.578395","23.92249","72.3174",""
"GOCLCORP.NS","GOCL CORPORATION L","21234784","54.616","77.2196","50.05","70.106","46.44444","8.376095","0.39574","54.84604",""
