[Stock_List]SymbolExchange	sortino_ratio_raw	sortino_ratio_normalised	ta_score	risk_score	combo_score	CQR	Beta	OutlierPC	CloseToSMA6Ratio	UltraShortTerm_Score
601225.SS	1.473	82.091	60.6	68.96	59.71	5	0.74	66.55	0.99	65.674
601231.SS	2.661	95.868	64.86	82.94	65.91	0	1.07	78.15	1.028	61.319
601233.SS	3.505	99.8	65.56	84.92	70.95	0	1.19	73.71	1.01	64.632
601238.SS	0.057	65.656	60.71	61.26	54.03	5	1.3	73.72	1.006	56.992
601298.SS	-0.015	64.83	30.03	44.22	32.62	5	1.21	25.06	0.989	39.227
601311.SS	4.207	99.8	49.07	60.41	51.76	5	1.23	61.6	0.987	37.035
601369.SS	2.536	94.416	47.63	56.06	48.37	5	1.16	51.14	0.982	43.92
601377.SS	2.209	90.628	61.28	70.65	55.79	5	1.23	72.0	1.007	52.49
601388.SS	1.709	84.824	51.08	61.32	48.69	0	1.35	50.41	0.979	45.548
601518.SS	1.282	79.868	42.64	57.7	45.16	0	1.2	40.67	0.982	45.904
601567.SS	-0.155	63.207	34.12	41.79	37.77	0	1.24	30.98	0.986	39.081
601577.SS	1.331	80.442	30.58	49.94	48.0	5	0.75	29.42	0.987	35.623
601588.SS	1.878	86.784	68.51	65.45	57.85	0	1.4	62.65	1.012	66.76
601598.SS	6.44	99.8	64.54	75.89	65.73	5	1.44	73.54	1.011	56.959
601601.SS	3.879	99.8	51.48	85.65	69.89	5	1.5	76.61	1.019	34.87
601615.SS	4.449	99.8	55.29	65.66	58.27	5	1.3	66.08	1.002	49.691
601618.SS	1.34	80.546	50.13	62.37	48.46	5	1.26	54.7	0.976	47.158
601633.SS	0.031	65.359	48.76	60.07	52.02	0	1.31	62.61	0.992	45.838
601636.SS	6.877	99.8	54.86	79.36	57.64	0	1.1	64.92	0.985	47.82
601658.SS	0.978	76.341	35.5	57.5	46.13	5	0.41	40.92	0.999	35.657
601666.SS	1.07	77.411	53.66	66.38	51.96	0	1.01	60.04	0.958	49.996
601677.SS	2.772	97.16	58.23	68.72	56.25	5	1.25	64.63	0.996	63.095
601678.SS	2.017	88.396	51.11	67.43	55.24	0	1.48	60.55	0.985	45.675
601699.SS	6.908	99.8	82.12	91.86	78.36	0	1.29	79.75	1.064	83.572
601700.SS	1.751	85.314	48.72	57.43	46.31	0	1.37	50.33	0.978	50.389
601717.SS	1.505	82.464	49.13	61.64	53.88	5	1.12	57.49	0.983	51.825
601727.SS	1.847	86.427	77.32	83.04	70.94	5	1.31	90.49	1.053	73.909
601799.SS	-2.642	34.354	28.65	40.16	37.95	5	1.33	24.44	0.995	38.971
601801.SS	1.278	79.822	46.29	56.61	44.68	0	1.0	44.79	0.991	45.631
601808.SS	1.071	77.427	52.71	50.23	49.88	5	1.36	61.35	0.996	60.611
601838.SS	0.608	72.053	31.17	52.92	52.36	5	0.5	28.44	0.998	36.255
601860.SS	1.769	85.518	35.7	46.85	42.72	5	0.96	26.61	0.987	46.295
601877.SS	3.573	99.8	64.18	85.82	67.89	5	1.27	71.13	1.004	65.967
601888.SS	1.607	83.642	52.44	65.49	51.45	5	1.24	65.63	0.99	43.173
601890.SS	2.021	88.446	67.79	59.59	61.76	0	1.58	55.29	1.012	73.061
601898.SS	2.479	93.761	57.91	73.13	62.24	5	0.98	63.82	0.982	60.106
601899.SS	1.606	83.624	45.1	61.94	52.53	5	1.48	48.83	0.981	43.15
601908.SS	1.392	81.147	45.13	50.24	47.34	5	1.36	49.62	0.978	56.572
601919.SS	1.284	79.895	48.52	67.71	57.35	5	1.53	61.0	0.984	44.457
601933.SS	-1.28	50.152	33.45	53.88	42.45	0	0.24	46.36	0.989	36.283
601939.SS	0.526	71.104	32.24	44.55	44.38	5	0.05	17.91	0.985	32.694
601952.SS	0.535	71.211	38.1	40.28	36.13	5	-0.44	20.91	0.985	38.681
601965.SS	2.751	96.916	56.76	62.17	54.21	5	1.04	65.49	1.004	46.736
601966.SS	1.459	81.93	54.26	70.74	56.92	5	1.28	67.88	0.998	51.643
601968.SS	1.091	77.655	48.76	56.96	50.85	5	1.32	45.59	0.982	45.046
601985.SS	-1.18	51.314	41.88	52.92	41.39	5	0.6	42.76	0.99	48.851
601996.SS	0.991	76.493	53.34	60.6	53.76	0	1.42	61.4	0.997	41.805
603006.SS	0.938	75.883	47.87	73.59	58.71	0	0.99	68.31	0.998	26.286
603008.SS	-0.346	60.986	33.81	21.19	27.37	5	1.37	33.45	0.992	50.443
603010.SS	0.396	69.594	51.04	61.68	51.93	5	1.31	73.05	1.005	46.383
603018.SS	1.628	83.885	62.94	74.08	63.68	0	1.25	61.96	0.986	70.887
603027.SS	1.815	86.059	66.12	86.62	74.44	0	1.34	78.79	1.016	65.695
603041.SS	0.255	67.962	50.7	53.94	49.37	5	1.23	55.57	0.995	44.592
