"Symbol","Company Name","ADTValue","AggregateScore","Sortino","Beta","BullishVolume","PriceUp","TDI","TII","MFI"
"603259.SS","WUXI APPTEC CO LTD","3638250989","68.655","58.8571","57.55","54.255","45.4343","100","100","64.49198",""
"603260.SS","Hoshine Silicon Industry Co., Ltd","289573999","68.581","55.1858","56.25","61.609","47.21604","100","100","59.80532",""
"603267.SS","BEIJING YUANLIU HONGYUAN ELECTR","255726030","63.515","44.483","68.6","57.785","41.87082","91.209495","89.16592","60.28204",""
"603288.SS","FOSHAN HAITIAN FLAVOURING AND F","738450288","68.676","52.4329","70.8","52.23","42.98441","100","100","62.28401",""
"603290.SS","STARPOWER SEMICONDUCTOR LTD","608442312","62.34","42.2112","51","57.971","42.53898","98.985155","89.92617","54.76065",""
"603298.SS","Hangcha Group Co., Ltd","240269470","62.858","83.699","53.3","54.535","49.44321","75.695555","98.39459","49.24625",""
"603299.SS","Jiang Su Suyan Jingshen Co.,Ltd","127999035","67.956","72.577","38.05","54.281","47.66147","100","100","63.11948",""
"603301.SS","Zhende Medical Co., Ltd","51005012","64.659","46.3429","56.75","49.288","45.4343","100","94.92587","59.87257",""
"603306.SS","HMT (Xiamen) New Technical Materials Co., Ltd","732232550","72.156","64.2869","66.6","57.69","45.65702","100","99.4274","71.42763",""
"603313.SS","Healthcare Co., Ltd","65444560","55.618","52.8006","65.2","53.841","42.98441","70.637475","81.96558","51.25911",""
"603319.SS","Hunan Oil Pump Co., Ltd","132534239","72.984","85.1826","48.9","62.341","47.21604","100","99.7384","67.50836",""
"603323.SS","Jiangsu Suzhou Rural Commercial Bank Co., Ltd","171370301","66.883","72.8098","51.15","52.859","42.98441","98.329445","92.89958","58.81744",""
"603338.SS","ZHEJIANG DINGLI MACHINERY CO LT","442934577","56.452","74.0241","41.1","53.991","46.99332","73.464995","83.94126","48.18697",""
"603339.SS","Square Technology Group Co.,Ltd","113059070","71.413","72.9213","44.1","57.928","48.77506","100","99.96","76.20429",""
"603345.SS","ANJOY FOODS GROUP CO LTD","511248139","67.151","47.7684","73.9","52.853","40.3118","100","97.99664","57.22795",""
"603358.SS","Huada Automotive Technology Corp.,Ltd","133276947","65.42","87.3975","13.05","59.222","44.36937","100","100","53.90347",""
"603416.SS","WuXi Xinje Electric Co.,Ltd","77784477","69.769","62.2761","67.1","54.371","47.66147","100","99.12949","57.84492",""
"603444.SS","G-bits Network Technology (Xiamen) Co., Ltd","409490205","63.215","57.9322","67.6","60.144","43.42984","80.766825","99.41648","52.44671",""
"603466.SS","Shanghai Fengyuzhu Exhibition Co., Ltd","164224825","69.697","60.3764","69.65","56.543","48.77506","100","93.98582","58.54797",""
"603501.SS","WILL SEMICONDUCTOR CO LTD SHANG","2095926283","66.336","84.3183","54.35","54.765","48.77506","87.42204","88.55816","58.7425",""
"603505.SS","China Kings Resources Group Co.,Ltd","166871464","62.234","67.8393","36.3","54.62","42.53898","94.53032","94.10323","51.178",""
"603515.SS","Opple Lighting Co.,LTD","35361539","69.931","74.8037","59.65","58.903","46.10245","99.29845","96.63624","54.82589",""
"603538.SS","Ningbo Menovo Pharmaceutical Co., Ltd","54044137","65.978","49.1777","64.95","57.825","45.4343","97.34693","85.77006","63.99489",""
"603583.SS","ZHEJIANG JIECANG LINEAR MOTION","176407849","64.808","63.2992","64.4","55.309","46.32517","88.375345","91.87718","55.69511",""
"603585.SS","Suli Co., Ltd","20943420","63.515","56.3539","43.95","48.345","51.00223","87.49811","100","69.96014",""
"603589.SS","Anhui Kouzi Distillery Co., Ltd","357099771","69.785","54.7509","69.5","56.867","43.20713","100","99.59966","64.57238",""
"603596.SS","Bethel Automotive Safety Systems Co., Ltd","351381670","67.891","68.076","59.15","56.022","43.42984","100","100","48.55975",""
