"Symbol","Company Name","ADTValue","Beta","Weighted Score","Wtd Sortino","Wtd BullishVolume","Wtd PriceUp","TDI","TII","MFI","Weighted Score","Price last week","Price this week","Price move %"
"600835.SS","Shanghai Mechanical & Electrical Industry Co., Ltd","27673181","86.9","54.726","59.9271","58.682","45.56991","29.690815","0.683","55.53364","54.726","11.62","11.35","-2.32",""
"603680.SS","KTK Group Co., Ltd","21743665","100","54.648","60.0136","57.203","46.72705","50.741765","26.88125","52.41524","54.648","6.95","6.98","0.43",""
"600458.SS","Zhuzhou Times New Material Technology Co., Ltd","84577496","100","54.602","60.6191","59.471","43.71591","26.75545","0","44.65721","54.602","9.65","9.04","-6.32",""
"600761.SS","Anhui Heli Co., Ltd","66398979","100","54.457","63.3107","53.656","46.40436","3.262965","0","45.51111","54.457","17.03","16.68","-2.06",""
"600329.SS","Tianjin Zhong Xin Pharmaceutical Group Corporation Limited","103201557","76.7","54.437","63.6339","53.558","46.11928","33.483485","0.40042","57.00994","54.437","32.78","31.07","-5.22",""
"600508.SS","Shanghai Datun Energy Resourses Co Ltd","156928428","72.75","54.233","54.605","63.384","44.70874","0","0","49.68627","54.233","11.96","11.89","-0.59",""
"603338.SS","ZHEJIANG DINGLI MACHINERY CO LT","978531601","88.4","54.147","61.8286","55.366","45.24623","6.33693","0","41.5579","54.147","51.2","48.01","-6.23",""
"688188.SS","SHANGHAI BOCHU ELECTRONIC TECH","73469481","89.75","54.141","64.2547","54.437","43.73175","0","0","43.42961","54.141","144.6","154.09","6.56",""
"601799.SS","CHANGZHOU XINGYU AUTOMOTIVE LIG","289116181","93.05","54.134","63.1326","53.909","45.36105","50","16.82377","44.98106","54.134","120.4","121.4","0.83",""
"600997.SS","Kailuan Energy Chemical Co Ltd","85573959","85.05","54.085","58.3781","56.868","47.00916","0","0","50.56541","54.085","6.07","6.13","0.99",""
"603068.SS","BEKEN CORPORATION","41791492","100","54.056","58.7267","54.686","48.75526","44.130765","4.46013","54.86499","54.056","20.15","20.22","0.35",""
"603678.SS","FUJIAN TORCH ELECTRON TECHNOLOG","66530386","88.8","54.031","56.1367","60.473","45.48181","50","53.28971","56.77488","54.031","24.06","23.81","-1.04",""
"600336.SS","Aucma Co.,Ltd","85482017","80.8","53.875","60.2082","56.749","44.66716","50.584695","39.01159","59.42675","53.875","4.93","4.43","-10.14",""
"601139.SS","Shenzhen Gas Corp Ltd","94841605","62.3","53.874","63.8314","55.214","42.57659","39.53973","0","52.02107","53.874","6.7","6.73","0.45",""
"600699.SS","Ningbo Joyson Electronic Corp","270530512","100","53.833","59.6367","55.22","46.64192","48.24344","0","48.5478","53.833","14.07","14.06","-0.07",""
"603195.SS","GONEO GROUP CO LTD","318551783","56.05","53.774","55.6118","58.178","47.53279","38.00489","0","45.86681","53.774","68.42","67.43","-1.45",""
"601117.SS","China National Chemical Engineering Co., Ltd","111277842","46.6","53.555","60.7654","54.492","45.40757","31.904755","0.64537","58.36505","53.555","7.17","7.09","-1.12",""
"600976.SS","Jianmin Pharmaceutical Group Co., Ltd","43872249","100","53.522","55.5871","58.118","46.85969","12.66529","0","50.12279","53.522","48.1","47.34","-1.58",""
"603416.SS","WuXi Xinje Electric Co.,Ltd","120156827","100","53.471","58.4117","54.92","47.08142","36.429495","39.00425","54.0997","53.471","31","30.16","-2.71",""
"603041.SS","Jiangsu Maysta Chemical Co., Ltd","214501129","74.25","53.363","60.04","49.38","50.66865","20.400205","0","48.53208","53.363","9.56","9.57","0.1",""
"600352.SS","Zhejiang Longsheng Group Co., Ltd","197120795","54.55","53.324","60.0621","57.628","42.2826","50","19.27905","48.01352","53.324","8.76","8.6","-1.83",""
"600580.SS","Wolong Electric Drive Group Co., Ltd","13321371","100","53.199","63.1863","51.617","44.79287","23.404745","0","47.99019","53.199","11.44","11.02","-3.67",""
"600176.SS","China Jushi Co., Ltd","63429290","47.7","53.07","53.1382","63.675","42.39743","28.58698","0","49.03975","53.07","10.19","10.06","-1.28",""
"603515.SS","Opple Lighting Co.,LTD","80638871","64.25","53.023","58.4649","57.073","43.5318","28.942685","0","54.10176","53.023","15.46","15.37","-0.58",""
"601699.SS","Shanxi Lu'an Environmental Energy Development Co Ltd","482508563","98.45","52.934","56.0306","55.284","47.48726","0","0","44.67158","52.934","14.85","15.17","2.15",""
"600217.SS","China Resources and Environment Co.,Ltd","887816000","60.75","52.799","63.3763","52.347","42.6736","68.1999","70.43454","45.02618","52.799","4.6","4.31","-6.3",""
"601677.SS","Henan Mingtai Al.Industrial Co., Ltd","222310644","100","52.797","58.2909","57.706","42.39446","50.971625","22.85656","53.58403","52.797","11.66","11.36","-2.57",""
"600885.SS","HONGFA TECHNOLOGY CO LTD","353789393","61.8","52.766","60.1157","53.776","44.40683","36.78879","3.92395","58.07855","52.766","28.33","27.09","-4.38",""
"600546.SS","Shanxi Coal International Energy Group Co.,Ltd","56885032","76.25","52.716","53.7879","59.688","44.67211","0","0","50.74251","52.716","12.8","12.45","-2.73",""
"603505.SS","China Kings Resources Group Co.,Ltd","76019573","100","52.663","60.1737","56.228","41.58872","1.168165","0","36.82256","52.663","25.35","24.24","-4.38",""
"600967.SS","Inner Mongolia First Machinery Group Co Ltd","777032167","50.7","52.62","55.5589","56.684","45.61643","36.156505","11.48463","51.22892","52.62","7.55","7.48","-0.93",""
"601727.SS","Shanghai Electric Group Company Limited","517090722","77.5","52.595","56.2638","59.312","42.20836","50","0","48.51722","52.595","3.76","3.7","-1.6",""
"603669.SS","Lionco Pharmaceutical Group Co., Ltd","400785949","45.6","52.582","61.3705","53.15","43.22593","36.3832","0.27676","52.44854","52.582","4.54","4.43","-2.42",""
"600089.SS","TBEA Co., Ltd","100157913","74.1","52.516","53.2741","58.664","45.6095","0","0","50.74052","52.516","13.38","13.1","-2.09",""
"603877.SS","Ningbo Peacebird Fashion Co., Ltd","70889337","65.3","52.451","55.0138","58.922","43.41599","17.06996","0","50.48291","52.451","13.82","13.71","-0.8",""
"600459.SS","Sino-platinum Metals Co Ltd","563674539","100","52.342","57.2277","53.111","46.68721","19.142285","0","47.47339","52.342","12.9","12.81","-0.7",""
"601233.SS","Tongkun Group Co Ltd","321138880","73.25","52.221","58.6789","54.084","43.89903","11.44777","2.2176","46.87351","52.221","12.88","12.24","-4.97",""
"600198.SS","Datang Telecom Technology Co., Ltd","150832920","82.9","52.199","59.055","51.163","46.37961","35.72638","3.49582","43.84519","52.199","5.07","5.14","1.38",""
"601965.SS","China Automotive Engineering Research Institute Co., Ltd","120250856","84.1","52.18","55.1972","58.022","43.32096","26.625085","0","45.04672","52.18","15.74","15.91","1.08",""
"603730.SS","Shanghai Daimay Automotive Interior Co., Ltd","51670010","98.85","52.085","51.8908","60.852","43.51101","23.298265","0","47.07738","52.085","8.65","8.45","-2.31",""
"603618.SS","Hangzhou Cable Co., Ltd","53957215","81.75","52.066","58.9282","49.399","47.86934","31.49597","3.9021","50.60173","52.066","4.54","4.42","-2.64",""
"603583.SS","ZHEJIANG JIECANG LINEAR MOTION","162452380","100","51.969","56.3461","52.662","46.90027","19.160805","0.92409","50.46085","51.969","16.43","16.44","0.06",""
"600346.SS","Hengli Petrochemical Co Ltd","118534800","93.35","51.898","59.3576","49.887","46.44989","39.71528","0","46.7214","51.898","13.33","13.4","0.53",""
"600348.SS","Yangquan Coal Industry (Group) Co., Ltd","103170181","86.15","51.787","54.4287","57.426","43.50606","0","0","53.91194","51.787","7.19","7.26","0.97",""
"600298.SS","Angel Yeast Co., Ltd","617052568","36.3","51.784","54.2633","54.149","46.94086","50","27.47138","56.45877","51.784","30.57","30.33","-0.79",""
"603260.SS","Hoshine Silicon Industry Co., Ltd","261716229","70.5","51.742","47.6551","60.399","47.1705","31.37429","0","50.41577","51.742","46.1","46.84","1.61",""
"601717.SS","Zhengzhou Coal Mining Machinery Group Company Limited","213566588","76.15","51.704","60.2972","51.315","43.50111","0","0","34.4971","51.704","11.79","11.81","0.17",""
