"Symbol","Company Name","ADTValue","Beta","Weighted Score","Wtd Sortino","Wtd BullishVolume","Wtd PriceUp","TDI","TII","MFI","Weighted Score","Price last week","Price this week","Price move %"
"ARIN.BK","ARINSIRI LAND PCL","4805246","100","59.684","60.2732","83.196","35.58301","88.723275","73.45577","75.62987","59.684","1.31","1.35","3.05",""
"PPP.BK","Premier Products PCL","4388101","16.2","59.674","65.4241","72.21","41.38899","63.781955","64.34205","39.48151","59.674","1.74","1.75","0.57",""
"KCM.BK","K.C. Metalsheet PCL","248763143","4.25","59.632","66.4915","83.617","28.78623","100","99.88872","71.66185","59.632","0.36","0.37","2.78",""
"KAMART.BK","Karmarts PCL","488899","22.35","59.556","76.1826","57.721","44.76348","34.9625","8.02308","52.15968","59.556","11.7","12.7","8.55",""
"CSP.BK","CSP Steel Center PCL","2797987","-8","59.553","63.124","81.162","34.37274","0","0.69742","66.53411","59.553","0.83","0.82","-1.2",""
"RICHY.BK","Richy Place 2002 PCL","451148187","30.45","59.542","64.8127","80.626","33.18837","94.53692","97.42309","70.37075","59.542","0.57","0.55","-3.51",""
"PPPM.BK","PP PRIME PCL","93829","-21.55","59.474","77.5564","74.486","26.37876","100","99.92439","72.47838","59.474","0.8","0.84","5",""
"PAF.BK","Pan Asia Footwear PCL","688219623","18.5","59.42","66.0534","73.794","38.41339","83.453355","98.98596","69.80554","59.42","1.2","1.19","-0.83",""
"BLA.BK","Bangkok Life Assurance PCL","495776","40.9","59.395","73.7463","64.92","39.51924","100","97.43743","65.18368","59.395","23.4","24.6","5.13",""
"CPL.BK","CPL GROUP PCL","2064708","-57.65","59.303","61.5817","82.349","33.97822","100","100","86.44105","59.303","1.51","1.48","-1.99",""
"KWI.BK","KWI PCL","1036564","11.85","59.266","66.61","80.895","30.29325","74.311","77.85454","78.86848","59.266","0.54","0.57","5.56",""
"TNL.BK","Thanulux PCL","363181","24.7","59.242","69.6576","76.065","32.00348","100","100","49.23958","59.242","35.25","36.75","4.26",""
"KTB.BK","Krung Thai Bank PCL","164614497","22.45","59.105","79.9773","52.673","44.66435","100","100","75.15116","59.105","20.6","21.6","4.85",""
"TRUBB.BK","THAI RUBBER LATEX GROUP PCL","1502487","48.1","59.068","62.2165","76.786","38.20152","61.77337","91.17614","63.82003","59.068","1.16","1.17","0.86",""
"CPI.BK","Chumporn Palm Oil Industry PCL","165284","17.65","58.993","74.6919","67.878","34.40778","100","100","84.51259","58.993","2.92","3.02","3.42",""
"ASIMAR.BK","Asian Marine Services PCL","24136","12.4","58.918","67.3749","76.578","32.80143","79.1388","99.04195","77.79822","58.918","1.58","1.54","-2.53",""
"NATION.BK","NATION GROUP (THAILAND) PCL","66259438","100","58.898","73.9842","84.116","18.59273","100","99.46684","51.48308","58.898","0.04","0.04","0",""
"CMO.BK","CMO PCL","3733511","25.05","58.778","66.0718","76.652","33.61054","76.889985","78.51934","72.85657","58.778","0.9","0.86","-4.44",""
"RP.BK","Raja Ferry Port PCL","2421571","16.15","58.607","60.3774","78.191","37.25138","85.473115","100","74.15167","58.607","1.23","1.21","-1.63",""
"SINGER.BK","SINGER_SINGER THAILAND","2588501","40.35","58.603","68.8569","64.907","42.04511","100","100","69.41749","58.603","10.5","11","4.76",""
"MTC.BK","MUANGTHAI CAPITAL PCL","1826124","44.65","58.568","84.685","48.287","42.73295","100","100","52.5974","58.568","48.75","51","4.62",""
"THMUI.BK","THAI MUI CORPORATION PCL","5741592","1.45","58.507","60.6128","85.373","29.53446","90.941025","87.66646","80.95894","58.507","0.66","0.59","-10.61",""
"NRF.BK","NR INSTANT PRODUCE PCL","1758752","65","58.467","56.2564","81.409","37.73417","61.03142","68.68652","61.42143","58.467","1.91","1.91","0",""
"AKP.BK","Akkhie Prakarn PCL","5380441","48.25","58.351","61.7936","76.329","36.9292","100","98.23011","72.18768","58.351","0.91","0.94","3.3",""
"TLI.BK","TLI_THAI LIFE INSURANCE","12978","33.2","58.307","72.4327","62.279","40.21031","100","100","64.23876","58.307","10.3","11.2","8.74",""
"ROJNA.BK","Rojana Industrial Park PCL","1971955","41.8","58.258","73.0748","58.968","42.72994","100","100","51.93907","58.258","6.65","6.95","4.51",""
"EMC.BK","EMC_EMC","292631","-13.25","58.242","72.355","83.573","18.79667","72.83343","94.91163","71.76428","58.242","0.08","0.08","0",""
"PERM.BK","Permsin Steel Works PCL","416192","-29.85","58.215","59.301","87.393","27.95205","24.282775","14.23064","84.27431","58.215","0.82","0.81","-1.22",""
"MICRO.BK","MICRO LEASING PCL","672820","100","58.196","56.3427","82.234","36.01014","90.20688","92.13625","77.12966","58.196","1.55","1.74","12.26",""
"SIS.BK","Sis Distribution (Thailand) PCL","32363","34","58.134","77.8922","55.189","41.31971","78.220675","100","48.29395","58.134","26.75","27.25","1.87",""
"GBX.BK","Globlex Holding Management PCL","202782572","12.05","58.068","64.552","77.721","31.93035","100","98.15702","65.90985","58.068","0.78","0.76","-2.56",""
"SYNEX.BK","Synnex (Thailand) PCL","15864725","33.3","58.061","79.6472","53.633","40.90226","81.43886","100","60.11853","58.061","14.8","15.7","6.08",""
"SFT.BK","SHRINKFLEX (THAILAND) PCL","137144","-7.25","58.048","59.3498","83.438","31.35643","67.393005","74.31418","47.87195","58.048","3.62","3.68","1.66",""
"TCJ.BK","T.C.J. Asia PCL","135894","5.55","58.034","63.1361","69.812","41.15444","72.747905","85.56597","33.35097","58.034","3.24","3.24","0",""
"PPM.BK","Porn Prom Metal PCL","18706901","-3.45","58.02","72.4357","63.817","37.80846","98.283015","93.48648","69.86985","58.02","2.16","2.22","2.78",""
"PG.BK","People's Garment PCL","53688286","-15.45","58.01","70.4744","69.258","34.29733","65.064125","68.8289","47.41152","58.01","8.85","8.95","1.13",""
"TMI.BK","Teera-Mongkol Industry PCL","4807659","13","58.003","67.6862","64.482","41.84157","68.36221","55.43244","61.34667","58.003","1.42","1.39","-2.11",""
"VIH.BK","SRIVICHAIVEJVIVAT PCL","301467559","21.5","57.972","75.1158","63.383","35.41588","39.15619","0","54.39723","57.972","8.75","9.1","4",""
