[Stock_List]SymbolExchange	sortino_ratio_raw	sortino_ratio_normalised	ta_score	risk_score	combo_score	CQR	Beta	OutlierPC	CloseToSMA6Ratio	UltraShortTerm_Score
GREEN.BK	-2.345	37.802	32.25	42.19	36.77	0	0.37	50.8	1.0	33.277
GROREIT.BK	-1.077	52.504	31.1	30.0	38.62	5	0.0	30.52	0.988	30.763
GTB.BK	0.019	65.222	35.5	34.26	31.26	0	0.08	48.82	0.991	28.771
GUNKUL.BK	0.784	74.091	66.19	57.52	54.55	0	1.15	72.21	1.02	73.645
GVREIT.BK	-33.213	30.2	44.49	39.03	35.15	5	0.06	68.3	1.001	50.0
HANA.BK	2.645	95.685	69.26	77.97	65.84	0	1.05	74.08	1.036	72.448
HARN.BK	-3.134	30.2	31.53	20.22	21.98	0	0.02	33.8	0.998	37.184
HENG.BK	-0.096	63.888	56.35	75.36	57.61	5	0.89	68.17	1.003	53.878
HFT.BK	1.296	80.035	38.6	46.06	41.11	0	-0.07	33.19	0.994	29.189
HL.BK	1.381	81.016	48.4	56.08	50.44	5	0.31	62.03	1.004	34.89
HMPRO.BK	-0.244	62.169	58.83	73.36	62.03	0	1.24	63.65	1.009	67.377
HPF.BK	2.198	90.498	58.55	61.48	54.26	5	0.19	68.48	1.004	64.06
HPT.BK	-0.87	54.91	35.11	30.85	29.66	0	0.54	31.89	0.982	30.556
HTC.BK	-1.914	42.799	52.2	53.28	46.42	0	0.15	66.76	1.002	62.911
HTECH.BK	1.23	79.27	56.8	46.97	47.69	0	0.48	66.42	1.005	57.118
HUMAN.BK	-1.273	50.228	37.71	45.41	40.33	5	-0.22	39.11	0.98	62.946
HYDRO.BK	0.195	67.267	69.84	60.95	59.35	0	-0.81	79.37	1.059	95.199
ICHI.BK	0.227	67.634	58.13	72.36	60.31	0	0.62	72.14	1.016	60.03
ICN.BK	0.423	69.911	61.03	56.07	55.23	5	0.29	77.19	1.02	70.34
IFS.BK	0.034	65.399	53.57	45.62	46.6	0	0.33	63.65	0.997	67.635
IHL.BK	0.163	66.896	51.95	58.54	56.14	0	0.35	79.25	1.027	48.737
IIG.BK	1.496	82.352	47.85	44.02	42.68	5	-0.09	58.31	1.008	50.0
III.BK	-0.223	62.413	48.63	57.51	44.82	5	-0.03	37.44	1.005	57.386
ILINK.BK	-0.556	58.553	58.6	54.26	46.46	0	0.37	64.12	1.002	67.354
ILM.BK	-0.186	62.842	60.54	63.39	58.99	5	0.69	67.28	1.003	68.961
IMH.BK	-1.785	44.29	39.96	41.67	33.96	5	0.09	26.35	0.994	50.332
IMPACT.BK	0.886	75.278	62.06	78.48	62.79	5	0.08	79.64	1.006	65.408
IND.BK	1.278	79.829	62.56	60.69	60.61	5	0.59	71.41	1.011	68.789
INET.BK	0.372	69.315	42.67	53.74	44.67	0	0.45	36.01	0.995	60.2
INETREIT.BK	-0.399	60.375	52.26	39.68	47.93	5	0.0	74.93	1.22	63.503
INGRS.BK	-0.051	64.403	47.12	34.78	39.35	5	0.8	59.53	1.007	65.0
INOX.BK	0.796	74.239	59.1	52.9	46.35	0	0.66	67.62	1.008	63.988
INSET.BK	0.461	70.342	63.48	56.07	52.82	5	1.22	70.2	1.024	81.243
IP.BK	1.017	76.799	33.77	39.85	38.27	5	0.4	41.04	0.983	30.56
IRC.BK	-0.927	54.251	44.72	51.4	38.71	0	0.11	49.5	0.994	64.752
IRCP.BK	0.719	73.336	34.67	31.0	28.32	0	0.27	33.87	0.995	35.764
IRPC.BK	1.757	85.387	75.24	79.47	64.77	0	1.19	80.82	1.062	91.805
IT.BK	4.111	99.8	60.89	61.16	56.02	0	0.15	72.91	1.03	63.553
ITD.BK	-1.194	51.148	45.22	57.07	44.29	0	1.29	46.84	1.053	44.792
ITEL.BK	1.592	83.467	63.58	75.16	67.47	0	0.61	76.42	1.053	60.855
IVL.BK	1.391	81.13	69.36	81.31	69.28	0	0.74	77.99	1.04	73.51
J.BK	-0.231	62.317	48.81	52.84	46.25	0	0.39	50.34	0.998	73.963
JAK.BK	0.108	66.256	59.7	60.36	55.76	5	-0.18	93.3	1.059	93.892
JAS.BK	-0.754	56.259	57.99	61.75	56.85	0	1.29	73.56	1.026	73.903
JCK.BK	-5.536	30.2	31.19	20.4	24.1	5	0.38	39.41	0.951	24.107
JCKH.BK	-0.092	63.93	62.55	39.56	44.92	5	1.26	68.96	1.039	82.813
JDF.BK	-1.495	47.66	39.62	41.99	35.11	5	0.03	43.69	1.005	65.859
JMART.BK	1.521	82.642	62.71	62.0	55.42	0	1.86	63.87	1.009	69.791
JMT.BK	1.01	76.714	57.26	52.19	49.1	0	1.58	61.53	1.005	61.905
JR.BK	-0.702	56.856	42.12	40.0	39.79	5	0.0	42.65	1.0	54.532
JUBILE.BK	0.036	65.417	47.52	57.27	49.67	0	0.16	66.8	1.002	43.717
