"Symbol","Company Name","ADTValue","AggregateScore","Sortino","Beta","BullishVolume","PriceUp","TDI","TII","MFI"
"CENTEL.BK","Central Plaza Hotel PCL","78191840","41.615","55.1094","39.9","46.575","38.38384","50","65.42781","45.90754",""
"CEYE.BK","Chamni's Eye PCL","81603","39.93","51.6921","5.35","44.167","39.77011","58.432335","87.62232","34.04385",""
"CFRESH.BK","Seafresh Industry PCL","1391731","35.222","59.1381","9.45","63.611","38.40399","35.805","0","47.55986",""
"CGD.BK","Country Group Development PCL","1704942","32.971","63.3045","23.15","22.475","24.56576","50","45.20158","52.09919",""
"CGH.BK","Country Group Holdings PCL","1703945","38.963","59.7428","-2","58.377","28.53535","73.891275","51.72035","28.57983",""
"CHARAN.BK","Charan Insurance PCL","60050","38.639","58.7774","-9.8","52.096","34.41176","30.37929","42.39207","53.35663",""
"CHAYO.BK","CHAYO GROUP PCL","13630226","40.202","43.4081","32.15","42.453","34.89461","50","76.05213","52.45506",""
"CHEWA.BK","CHEWATHAI PCL","565632","54.892","55.2514","5.2","82.978","30.38278","65.98011","100","78.47311",""
"CHG.BK","Chularat Hospital PCL","68173395","53.94","55.0095","16.9","43.514","39.66346","81.248545","100","59.99259",""
"CHO.BK","Cho Thavee PCL","1138473","31.316","47.0766","-24.35","51.957","24.57831","9.486025","0.59752","38.32487",""
"CHOTI.BK","KIANG HUAT SEA GULL TRADING FROZEN FOOD PCL.","14190","34.458","46.7161","5.1","9.612","42.12598","26.724205","51.24204","39.85716",""
"CHOW.BK","Chow Steel Industries PCL","2051545","34.289","62.9384","-22.45","61.952","37.12871","50","45.12531","55.32775",""
"CI.BK","Charn Issara Development PCL","483886","46.991","53.9657","34.7","82.079","30.34826","39.00743","27.24422","78.61293",""
"CIG.BK","C.I.GROUP PCL","557692","67.162","60.0701","100","53.164","24.75248","86.666665","95.65214","63.15986",""
"CIMBT.BK","CIMB THAI BANK PCL","286737","42.401","41.4333","-0.3","49.291","26.73522","58.333805","100","62.98236",""
"CITY.BK","City Steel PCL","50673","39.852","62.7837","22.25","97.761","32.36994","27.857495","0","19.51459",""
"CIVIL.BK","CIVIL ENGINEERING PCL","2003800","48.648","54.1495","3.9","67.993","33.4873","69.636605","61.24129","80.492",""
"CK.BK","CH. Karnchang PCL","60937848","43.471","58.3455","20.45","46.487","43.17618","54.00728","72.38788","55.43443",""
"CKP.BK","CK Power PCL","33795254","33.078","54.1741","17.7","42.688","38.51675","50","34.44501","44.02351",""
"CM.BK","Chiangmai Frozen Foods PCL","245867","37.66","57.9609","10","52.523","35.98015","19.87423","2.16934","44.73567",""
"CMAN.BK","CHEMEMAN PCL","2180968","44.908","72.51","4.2","67.279","35.04673","8.06007","7.31891","44.1239",""
"CMC.BK","CHAOPRAYAMAHANAKORN PCL","168533","37.458","49.2981","10.5","44.636","32.62411","1.213955","2.03322","25.54154",""
"CMO.BK","CMO PCL","916794","65.514","59.0717","26.15","72.759","33.58396","96.627475","100","73.77994",""
"CMR.BK","Chiang Mai Ram Medical Business PCL","152171","44.563","37.6143","11.15","63.461","32.03883","54.83388","94.44096","63.57084",""
"CNT.BK","Christiani & Nielsen (Thai) PCL","1147616","58.355","69.5249","31.75","85.668","34.0796","54.34934","96.00138","82.76492",""
"COLOR.BK","SALEE COLOUR PCL","59476","40.378","53.6313","8.55","43.127","35.38084","8.425345","12.54061","46.26765",""
"COMAN.BK","Comanche International PCL","797654","22.506","45.3345","-65.6","58.528","36.21495","18.834675","0","20.73134",""
"CPALL.BK","CP All PCL","1404354001","51.009","61.5514","20.95","44.808","43.03483","63.76722","100","59.18086",""
"CPANEL.BK","CPANEL PCL","150216","30.371","33.4349","-7","33.935","35.63218","50","82.37912","34.21232",""
"CPF.BK","Charoen Pokphand Foods PCL","512239025","53.721","67.0858","14.55","51.7","36.13861","82.441435","88.75605","52.9335",""
"CPH.BK","Castle Peak Holdings PCL","12929085","54.495","50.5045","30.25","81.437","35.23573","57.631","96.8492","71.92467",""
"CPI.BK","Chumporn Palm Oil Industry PCL","2127974","72.955","68.8625","58.9","65.625","32.5","100","100","84.79604",""
"CPL.BK","CPL GROUP PCL","2987542","46.202","59.3469","8.25","76.832","32.84314","50","59.74835","86.39263",""
"CPN.BK","Central Pattana PCL","404749802","52.278","58.5353","31.25","52.799","41.5","66.581825","98.32275","50.3729",""
"CPNCG.BK","CPN COMMERCIAL GROWTH LEASEHOLD PROPERTY FUND","2607382","54.344","46.2561","23.65","39.329","29.77778","88.391145","100","64.61226",""
"CPNREIT.BK","CPN RETAIL GROWTH LEASEHOLD REIT","33992161","43.309","47.7626","14.45","46.27","31.25","50","94.94656","68.48351",""
"CPR.BK","CPR Gomu Industrial PCL","1441869","32.257","61.0496","1.25","70.089","33.75","50","7.9413","51.71991",""
"CPT.BK","CPT DRIVES AND POWER PCL","8924811","64.435","78.11","16.15","45.216","31.48148","100","99.91669","80.16749",""
"CPW.BK","COPPERWIRED PCL","2449546","42.207","49.0298","45.9","63.233","36.04651","40.42588","20.32826","61.76023",""
"CRANE.BK","Chu Kai PCL","845917","36.682","32.9276","19.1","30.833","32.84672","9.426025","1.60935","58.31149",""
"CRC.BK","CENTRAL RETAIL CORPORATION PCL","326403838","50.733","50.5882","44.35","40.79","40.78341","65.94989","99.82729","46.88933",""
"CRD.BK","CHIANGMAI RIMDOI PCL","620065","59.017","51.9781","27.4","70.735","23.47418","83.37711","96.88553","75.89068",""
"CSC.BK","CROWN SEAL PCL","130465","49.59","62.4976","8.3","44.383","34.18079","58.43343","100","80.8988",""
"CSP.BK","CSP Steel Center PCL","1654656","27.576","57.0253","-51.7","78.995","36.22829","50","4.84357","67.64108",""
"CSS.BK","Communication and System Solution PCL","1625205","48.601","51.9211","30.65","73.24","32.44552","51.217575","79.82665","69.69055",""
"CTARAF.BK","CENTARA HOTELS & RESORTS LEASEHOLD PROPERTY FUND","323538","42.862","56.4197","-9.35","63.797","26.88889","55.259515","96.67211","55.08472",""
"CTW.BK","Charoong Thai Wire & Cable PCL","69698","23.4","42.4745","3.75","50.851","32.87671","50","0","33.84718",""
"CV.BK","CLOVER POWER PCL","8472723","57.552","35.6702","58.25","64.293","29.7235","78.86264","98.20089","59.00134",""
"CWT.BK","Chai Watana Tannery Group PCL","492696","36.905","31.808","29.15","44.606","34.24318","50","61.42651","57.10227",""
"D.BK","DENTAL CORPORATION PCL","3015800","53.733","51.7581","22.9","49.949","38.06147","79.83693","93.70544","60.08632",""
"DCC.BK","Dynasty Ceramic PCL","21529080","45.809","48.2875","20.5","51.632","34.23645","11.310405","8.73417","79.89074",""
"DCON.BK","Dcon Products PCL","2094842","41.833","61.5933","49.05","58.349","28.35821","50","29.15452","66.32808",""
"DDD.BK","DO DAY DREAM PCL","2119195","36.74","49.6185","22.75","40.395","34.65116","50","62.54278","47.22073",""
"DELTA.BK","Delta Electronics (Thailand) PCL","1591817546","62.95","81.6218","33.8","41.67","49.01478","81.87774","100","70.78959",""
"DEMCO.BK","Demco PCL","891323","44.236","53.1513","-7.95","69.744","36.63366","15.623815","7.65923","81.6621",""
"DHOUSE.BK","DHOUSE PATTANA PCL","352979","36.185","65.7575","-1.45","46.025","37.41339","19.563435","0","44.67678",""
"DIF.BK","DIGITAL TELECOMMUNICATIONS INFRASTRUCTURE FUND","173393369","51.798","45.1929","13.1","34.547","29.33333","90.522305","100","59.36994",""
"DIMET.BK","Dimet (Siam) PCL","399267","54.347","57.8904","35.85","70.747","23.5589","61.427435","100","69.52876",""
"DITTO.BK","DITTO (THAILAND) PCL","66470750","50.464","49.5153","42.45","55.171","40.64665","50","99.66758","65.79894",""
"DMT.BK","DON MUANG TOLLWAY PCL","9012658","29.744","64.2418","4.1","63.831","32.56351","50","2.02019","41.45096",""
"DOD.BK","DOD BIOTECH PCL","5037940","54.855","51.9382","0.8","72.229","36.59674","70.02932","96.62324","85.74263",""
"DOHOME.BK","DOHOME PCL","82638399","44.264","59.3523","36.35","49.137","37.81903","14.95977","11.53191","45.5803",""
"DPAINT.BK","DELTA PAINT PCL","4873933","52.513","30.2","58.75","53.59","34.40367","63.12432","86.5032","77.89843",""
"DREIT.BK","DUSIT THANI FL-REIT","583416","42.448","51.9335","-4.5","42.377","25.86207","64.55303","98.55376","53.80481",""
"DRT.BK","Diamond Building Products PCL","2046130","38.288","61.431","11.45","44.149","31.11111","31.45801","32.9146","49.87677",""
"DTCI.BK","D.T.C. Industries PCL","74730","25.98","69.9397","-70.4","31.614","42.06349","50","52.05936","56.58186",""
"DUSIT.BK","DUSIT THANI PCL","4441589","49.693","66.8119","48.2","55.794","37.96526","50.832025","91.94469","45.47029",""
"DV8.BK","DV8 PCL","1696673","80.211","72.4085","94.6","82.39","31.5508","100","98.80174","81.72503",""
"EA.BK","Energy Absolute PCL","1089783065","47.708","41.296","62.5","51.539","34.689","50","94.44795","49.48488",""
"EASON.BK","EASON & CO PCL","973791","42.886","66.1527","17.65","45.923","36.63366","50.796115","93.29403","38.95883",""
"EASTW.BK","EASTERN WATER RESOURCES DEVELOPMENT AND MANAGEMENT PCL.","1618890","33.893","47.1128","-16.8","33.989","33.33333","50","81.5236","58.0899",""
"ECF.BK","East Coast Furnitech PCL","2114788","53.071","30.2","70.3","70.169","31.15942","56.50731","77.8464","78.80869",""
"ECL.BK","Eastern Commercial Leasing PCL","1442344","52.418","49.3757","42.15","62.948","41.79104","52.484895","100","65.69169",""
"EE.BK","Eternal Energy PCL","165746","52.607","35.1055","33.55","71.482","20.25","73.64289","98.88648","61.68669",""
"EFORL.BK","E For L Aim PCL","2061412","53.798","69.351","29.55","66.605","27.94118","62.17524","100","58.78587",""
"EGATIF.BK","NORTH BANGKOK POWER PLANT BLOCK 1 INFRASTRUCTURE FUND, ELECTRICITY GENERATING AU","5017751","35.185","57.9243","0.45","28.353","29.55556","52.54665","95.31412","29.60674",""
"EGCO.BK","Electricity Generating PCL","97561163","47.146","47.1401","21.9","37.482","39.55224","67.489275","98.20719","50.7642",""
"EKH.BK","Ekachai Medical Care PCL","5699477","35.082","49.691","3.65","46.285","36","24.755525","10.19417","49.2661",""
"EMC.BK","EMC_EMC","1700970","48.837","82.4507","-47.4","88.568","20.34739","68.504425","97.91874","62.96294",""
"EP.BK","EASTERN POWER GROUP PCL","867979","34.977","38.3034","28.95","42.019","28.46535","50","57.30171","49.79986",""
"EPG.BK","Eastern Polymer Group PCL","18616765","46.392","39.3981","34.6","40.522","38.38863","62.49971","95.22704","51.6065",""
"ERW.BK","The Erawan Group PCL","51354851","51.602","61.4451","46.15","42.609","41.27764","70.17445","88.47337","40.91202",""
"ESTAR.BK","Eastern Star Real Estate PCL","245604","50.1","54.9558","38.05","34.954","22.52475","81.30106","99.76139","37.85298",""
"ETC.BK","EARTH TECH ENVIRONMENT PCL","4264470","47.104","46.0033","28.85","38.96","41.74312","69.884465","82.77927","51.62196",""
"ETE.BK","Eastern Technical Engineering PCL","252041","47.235","69.2092","-0.65","65.639","34.88372","63.9756","83.19897","50.41058",""
"EVER.BK","Everland PCL","268335","33.939","51.7144","40.35","50.611","22.60442","50","34.93209","37.36314",""
"FANCY.BK","Fancy Wood Industries PCL","111143","58.862","57.0885","56.9","63.158","33.41646","71.221735","94.26746","64.75883",""
