"Symbol","Company Name","ADTValue","Beta","Weighted Score","Wtd Sortino","Wtd BullishVolume","Wtd PriceUp","TDI","TII","MFI","Weighted Score","30D Max Move %","2x Offset Weighted Score","DeltaWeightedScore %","Price last week","Price this week","Price move %"
"AEV.PSE","Aboitiz Equity Ventures, Inc.","3779920","35.55","52.572","66.769","41.73","49.21801","5.274685","0","29.58409","52.572","7.98","57.661","-8.83","54","54.95","1.76",""
"APL.PSE","Apollo Global Capital, Inc.","431146","15.95","52.255","53.8191","71.365","31.58237","38.80544","14.55503","65.07588","52.255","6.67","53.708","-2.71","0.024","0.025","4.17",""
"CLI.PSE","Cebu Landmasters, Inc.","141274930","17.8","52.174","57.6192","57.563","41.3412","19.38421","2.7979","58.68853","52.174","10.42","53.125","-1.79","2.56","2.63","2.73",""
"DNL.PSE","D&L Industries, Inc.","219886","30.85","52.149","68.6204","42.682","45.14372","23.9579","1.19971","56.52572","52.149","6.2","52.945","-1.5","7.34","6.99","-4.77",""
"SUN.PSE","Suntrust Home Developers, Inc.","71432344","49.7","52.132","61.019","66.25","29.12566","20.96907","5.69138","14.7602","52.132","7.78","50.408","3.42","0.9","0.88","-2.22",""
"MAC.PSE","MacroAsia Corporation","136295925","57.4","52.109","64.4416","47.487","44.39826","16.47061","0","44.26413","52.109","4.25","54.147","-3.76","4.7","4.52","-3.83",""
"PLC.PSE","Premium Leisure Corp.","2185967","24.8","52.094","68.6477","51.943","35.69219","23.35785","6.44307","59.31749","52.094","26.09","57.393","-9.23","0.57","0.56","-1.75",""
"JFC.PSE","Jollibee Foods Corporation","76105671","12.25","51.949","65.3422","45.666","44.83974","0","0","41.25873","51.949","9.48","54.633","-4.91","234","235","0.43",""
"LC.PSE","Lepanto Consolidated Mining Company","131167681","21.7","51.67","61.2874","58.483","35.24108","25.56836","21.98953","55.82597","51.67","4.59","51.522","0.29","0.1","0.106","6",""
"PX.PSE","Philex Mining Corporation","6973961","20.35","51.526","55.8882","55.219","43.47018","71.430715","81.67331","64.20373","51.526","4.79","48.676","5.86","2.73","2.8","2.56",""
"CNPF.PSE","Century Pacific Food, Inc.","467937","0.15","51.457","68.9786","44.825","40.56673","13.382185","22.24707","44.2101","51.457","8.06","54.094","-4.87","23.2","23.95","3.23",""
"MAXS.PSE","Max's Group, Inc.","15818288","-6.95","51.226","60.687","48.536","44.45476","15.142325","0.56599","42.53639","51.226","2.04","52.633","-2.67","4.7","4.65","-1.06",""
"IDC.PSE","Italpinas Development Corporation","5661759","35.5","51.053","53.4989","68.053","31.60796","26.988645","0","55.47351","51.053","6.94","53.608","-4.77","0.69","0.72","4.35",""
"PSE.PSE","The Philippine Stock Exchange, Inc.","45935769","2.65","50.528","60.3235","53.74","37.52151","44.43601","13.21854","43.76656","50.528","2.66","51.989","-2.81","165","161","-2.42",""
"MPI.PSE","Metro Pacific Investments Corporation","6719993","27.05","50.462","68.9762","38.378","44.03304","40.95036","12.47439","58.55884","50.462","17.62","53.69","-6.01","4.47","4.35","-2.68",""
