"Symbol","Company Name","Wtd Sortino Score"
"LIC","Lifestyle Communities Ltd","-3.51508509165"
"A2M","A2 Milk Company Ltd","-3.583473331907"
"WNR","Wingara AG Ltd","-3.639389362178"
"RGN","Region Group Limited","-4.21086001813"
"MAN","Mandrake Resources Ltd","-4.211692433772"
"FWD","Fleetwood Corporation Ltd","-4.226255235855"
"VKA","Viking Mines Ltd","-4.373478407966"
"PIC","Perpetual Eq Invest Co Ltd","-4.576734750205"
"HZR","Hazer Group Ltd","-4.604101633092"
"NCK","Nick Scali Ltd","-4.606199073304"
"SRV","Servcorp Ltd","-4.613072651463"
"KGN","Kogan.com Ltd","-4.720695170284"
"SEK","Seek Ltd","-4.985108333614"
"ENN","Elanor Investors Group","-4.986038626156"
"AGI","Ainsworth Game Technology Ltd","-4.996743095265"
"PGO","Pacgold Ltd","-5.152489599099"
"CAE","Cannindah Resources Ltd","-5.59830395965"
"CAA","Capral Ltd","-5.644901349662"
"PMC","Platinum Capital Ltd","-5.845361920224"
"BBC","BNK Banking Corporation Ltd","-5.95913488331"
"CLV","Clover Corporation Ltd","-6.101470813192"
"GLN","Galan Lithium Ltd","-6.208090373915"
"IEL","IDP Education Ltd","-6.509814820924"
"PEN","Peninsula Energy Ltd","-6.551923000947"
"IBC","Ironbark Capital Ltd","-6.822376371195"
"ARE","Argonaut Resources N L","-6.915642035637"
"ADH","Adairs Ltd","-6.947148969781"
"ARR","American Rare Earths Ltd","-6.955755669767"
"NAB","National Australia Bank Ltd","-7.161068898296"
"DCC","Digitalx Ltd","-7.163124355485"
"ALI","Argo Global Listed Infrastructure Ltd","-7.314171088393"
"TRS","The Reject Shop Ltd","-7.356744855883"
"VG1","VGI Partners Global Investments Ltd","-7.514122870477"
"92E","92 Energy Ltd","-7.671873980046"
"PGD","Peregrine Gold Ltd","-7.744848659314"
"INA","Ingenia Communities Group","-7.87775795827"
"ARG","Argo Investments Ltd","-7.899161581244"
"EZL","Euroz Ltd","-8.010690117112"
"MAQ","Macquarie Telecom Group Ltd","-8.076219379768"
"NZM","NZME Ltd","-8.430399376554"
"EDV","Endeavour Group Ltd","-8.581043371321"
"NIC","Nickel Industries Limited","-8.612842570738"
"AGN","Argenica Therapeutics Ltd","-8.851537761615"
"MGX","Mount Gibson Iron Ltd","-9.053229826476"
"PDI","Predictive Discovery Ltd","-9.390729114929"
"JYC","Joyce Corporation Ltd","-9.492182144284"
"CGF","Challenger Ltd","-9.532322902098"
"LPI","Lithium Power International Ltd","-9.623539851881"
"KMD","KMD Brands Ltd","-9.659148440217"
"BCB","Bowen Coking Coal Ltd","-9.72990517059"
"EMMG","BetaShares Legg Mason Emerging Markets (Managed)","-9.872276333641"
"NSC","NAOS Small Cap Opportunities Company Ltd","-10.16198501"
"INF","Infinity Lithium Corporation Ltd","-10.18566423556"
"ABX","ABx Group Ltd","-10.21470888598"
"TGA","Thorn Group Ltd","-10.22898313539"
"NTU","Northern Minerals","-10.2520578637"
"BRG","Breville Group Ltd","-10.2901671656"
"DDH","DDH1 Ltd","-10.44133516861"
"AVJ","Avjennings Ltd","-10.45061887872"
"CUV","Clinuvel Pharmaceuticals Ltd","-10.49053714564"
"SVM","Sovereign Metals Ltd","-10.52134705966"
"PTL","Pental Ltd","-10.55144289573"
"RND","Rand Mining Ltd","-10.61775673884"
"TBN","Tamboran Resources Ltd","-10.65335653374"
"IFL","Insignia Financial Ltd","-10.82964208844"
"PAI","Platinum Asia Investments Ltd","-10.85786208581"
"AVA","Ava Risk Group Ltd","-10.8583169548"
