"Symbol","Company Name","ADTValue","Beta","Weighted Score","Wtd Sortino","Wtd BullishVolume","Wtd PriceUp","TDI","TII","MFI","Weighted Score","30D Max Move %","2x Offset Weighted Score","DeltaWeightedScore %","Price last week","Price this week","Price move %"
"GE","General Electric Co","451873110","52.25","68.13","92.3993","56.538","55.45208","61.582345","100","59.72483","68.13","6.73","64.312","5.94","101.59","105.8","4.14",""
"TH","Target Hospitality Corp","89532203","100","68.129","92.6945","62.427","49.26435","32.46119","15.05608","42.28715","68.129","28.89","73.064","-6.75","14.53","15.34","5.57",""
"ZGN","Ermenegildo Zegna NV","7706038","88.1","68.11","80.9909","75.071","48.26884","50","98.9233","60.06391","68.11","6.1","70.928","-3.97","12.32","11.99","-2.68",""
"ZEUS","Olympic Steel Inc","21348002","100","68.08","92.76","55.772","55.7083","50","100","55.03935","68.08","0.81","70.614","-3.59","44.16","45.88","3.89",""
"EFXT","Enerflex Ltd.","12698949","50","68.061","68.6005","84.509","51.07297","14.803595","0.5478","55.84105","68.061","12.07","71.379","-4.65","5.81","6.04","3.96",""
"ASO","Academy Sports Outdoors Inc","62883054","76.35","68.055","91.8576","60.142","52.16457","69.2917","100","51.22786","68.055","1.79","66.32","2.62","49.85","51.37","3.05",""
"VERX","Vertex","38752016","-31.75","68.03","85.0849","66.126","52.87903","100","100","68.90549","68.03","0.63","65.29","4.2","21.16","21.73","2.69",""
"VYNE","Vyne Therapeutics Inc","76398556","-60.95","67.992","64.5028","97.272","42.20251","37.108905","8.2457","71.31887","67.992","97.51","52.332","29.92","7.13","6.06","-15.01",""
"PERI","Perion Network","35661499","8.15","67.99","93.9548","57.829","52.18724","50.46274","100","60.54833","67.99","1.78","68.459","-0.69","32","30.91","-3.41",""
"NEON","Neonode Inc","3809539","50","67.96","79.2427","78.167","46.46957","47.652455","0","58.53556","67.96","32.5","68.544","-0.85","7.51","8.39","11.72",""
